Attrition_Dummy,Age,EnvironmentSatisfaction,Gender_Male,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,NumCompaniesWorked,PerformanceRating,RelationshipSatisfaction,TotalWorkingYears,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
0,33,4,0,3,1,3,2909,1,3,3,8,3,8,7,3,0
0,59,3,0,4,1,1,2670,4,4,1,12,2,1,0,0,0
0,38,4,1,3,1,4,3944,5,3,3,6,3,3,2,1,2
0,21,3,1,3,1,4,1232,1,3,4,0,3,0,0,0,0
0,53,3,0,3,5,3,19094,4,3,4,26,2,14,13,4,8
0,35,4,0,3,1,4,2014,1,3,1,2,3,2,2,2,2
0,35,3,1,3,1,4,1951,1,3,3,1,3,1,0,0,0
0,27,4,0,3,1,1,2341,1,3,4,1,3,1,0,0,0
1,41,2,0,3,5,3,19545,1,3,4,23,3,22,15,15,8
0,34,2,1,3,2,3,4568,0,4,3,10,3,9,5,8,7
0,46,1,1,3,2,4,5772,4,4,3,14,3,9,6,0,8
0,44,2,0,3,2,1,5454,5,4,3,9,2,4,3,1,3
0,36,3,0,3,3,3,10096,1,3,2,17,3,17,14,12,8
0,45,2,1,3,3,1,9724,2,3,3,25,3,1,0,0,0
1,36,4,1,2,1,3,3388,0,3,1,2,2,1,0,0,0
0,59,1,0,2,2,3,5473,7,3,4,20,2,4,3,1,3
0,36,2,0,4,1,4,3038,3,3,2,5,3,1,0,0,0
0,38,2,0,1,2,4,5329,7,3,4,17,3,13,11,1,9
0,30,3,1,2,2,4,4152,1,3,1,11,3,11,10,10,8
0,30,3,0,2,2,2,5209,1,3,2,11,2,11,8,2,7
0,46,3,1,2,3,1,10673,2,3,3,21,2,10,9,9,5
1,20,4,0,2,1,4,2926,1,3,2,1,3,1,0,1,0
0,59,3,0,2,5,4,18844,9,4,4,30,3,3,2,2,2
0,25,4,1,2,1,4,2889,1,3,3,2,3,2,2,2,1
0,54,4,0,4,4,4,17328,2,3,3,23,3,5,3,4,4
0,24,2,1,3,1,3,2774,0,3,3,6,3,5,3,1,2
0,26,3,0,2,1,2,2368,1,3,3,5,2,5,4,4,3
1,58,4,0,3,3,4,10312,1,3,4,40,2,40,10,15,6
0,43,2,0,4,1,3,4739,4,3,4,18,3,3,2,1,2
0,50,3,0,3,3,4,9208,4,3,4,16,3,2,2,2,1
0,41,3,1,3,3,3,8189,3,3,3,12,3,9,7,0,7
1,51,1,1,1,3,4,10650,2,3,4,18,3,4,2,0,3
0,25,1,1,2,2,3,8639,2,3,4,6,3,2,2,2,2
1,32,1,0,3,1,1,4200,7,4,1,10,4,5,4,0,4
0,30,4,0,3,1,1,3204,5,3,4,8,3,3,2,2,2
0,19,2,0,3,1,2,1483,1,3,4,1,3,1,0,0,0
0,40,3,1,2,3,4,10855,7,3,1,15,2,12,11,2,11
0,27,3,1,2,1,3,2566,1,3,4,1,2,1,1,0,1
0,41,1,1,3,1,3,2451,4,3,1,13,3,9,8,1,8
0,30,2,0,3,3,4,9419,2,3,3,12,3,10,9,7,4
0,45,3,0,3,2,1,5006,4,3,1,9,4,5,4,0,3
0,31,3,0,3,1,4,3929,8,4,3,7,3,4,2,0,2
0,33,4,0,3,1,2,2756,1,3,4,8,3,8,7,1,6
0,40,4,0,3,5,3,19033,1,3,2,21,3,20,8,9,9
0,45,1,1,2,4,4,16792,9,4,4,22,3,20,8,11,8
0,35,2,0,3,2,2,4425,5,3,4,10,3,6,2,1,2
0,38,4,1,3,2,3,6553,9,3,2,14,3,1,0,0,0
0,27,3,1,2,2,1,4298,5,3,3,6,3,2,2,2,0
0,49,4,1,3,2,4,6804,1,3,1,7,3,7,7,1,7
0,40,3,1,3,2,4,2741,8,3,3,15,4,7,2,3,7
0,30,3,1,2,3,3,8474,1,4,3,12,3,11,8,5,8
1,29,3,1,3,1,3,2058,0,3,4,7,2,6,2,1,5
0,54,4,0,3,2,1,5940,2,3,4,16,3,6,2,0,5
0,36,4,1,3,2,2,5914,8,3,4,16,4,13,11,3,7
0,37,1,1,3,1,4,2793,4,3,3,13,3,9,8,5,8
0,29,2,0,3,3,4,7918,1,3,4,11,3,11,10,4,1
0,35,3,0,3,3,3,8789,1,3,1,10,4,10,7,0,8
0,52,3,0,2,1,4,3212,7,3,2,6,2,2,2,2,2
0,42,3,1,3,5,4,19232,1,3,4,22,3,22,17,11,15
1,33,3,1,3,1,4,2436,5,3,3,8,1,5,4,0,4
1,32,4,1,2,1,3,3730,0,3,4,4,1,3,2,1,2
0,32,3,1,3,2,4,4465,0,3,1,4,3,3,2,2,2
0,40,1,1,3,2,4,3319,1,3,1,9,3,9,8,4,7
0,45,3,1,4,5,4,19202,0,3,3,25,3,24,0,1,7
0,37,3,0,2,1,1,3920,2,3,1,17,2,3,1,0,2
0,45,1,1,4,2,3,6434,4,3,4,9,3,3,2,0,2
0,42,4,0,2,1,1,2593,0,3,3,10,3,9,6,7,8
0,31,2,1,2,2,4,5582,0,4,2,10,3,9,0,7,8
0,45,3,1,3,4,4,13496,0,3,2,21,3,20,7,4,10
0,37,3,1,3,2,4,6502,4,3,2,7,4,5,4,0,1
0,55,2,1,3,2,4,5415,3,3,4,12,3,10,7,0,8
1,18,3,1,3,1,3,1420,1,3,3,0,3,0,0,0,0
0,32,4,1,2,2,3,5484,1,3,3,13,2,13,8,4,8
0,43,3,0,3,1,4,2455,0,3,1,9,3,8,7,1,7
0,33,2,1,2,2,4,4682,3,3,3,9,2,7,7,0,1
0,47,4,1,3,5,3,18300,4,3,2,21,3,3,2,1,1
0,40,2,1,1,2,4,7457,2,4,3,6,2,4,3,0,2
0,27,2,0,3,2,2,6214,1,3,1,8,3,8,7,0,7
0,29,4,0,2,2,2,8268,1,3,1,7,3,7,7,1,7
0,23,3,1,3,1,4,2904,1,3,3,4,2,4,2,0,2
0,41,4,1,2,2,2,6032,6,3,4,8,3,5,4,1,2
0,26,3,1,3,2,3,5296,1,3,2,8,3,8,7,7,7
0,40,4,0,4,1,3,2213,3,3,3,10,3,7,7,1,7
0,37,3,0,3,1,1,3452,6,4,2,17,3,5,4,0,3
1,40,3,1,2,2,3,6380,2,3,1,8,3,6,4,1,0
0,29,4,1,3,1,4,2201,9,3,4,6,3,3,2,1,2
0,24,4,0,3,2,3,4260,1,3,4,5,4,5,2,0,3
0,22,1,0,3,1,2,2244,1,3,4,2,3,2,1,1,2
0,37,4,0,3,1,1,3034,1,3,3,18,2,18,7,12,17
0,37,3,1,3,2,2,4197,2,3,4,18,2,1,0,0,1
0,40,2,0,2,2,3,3448,6,4,2,20,3,1,0,0,0
0,43,3,0,3,2,3,4522,4,3,4,8,3,5,2,0,2
0,25,2,0,2,2,4,4487,1,3,2,5,3,5,4,1,3
1,25,1,1,3,1,1,4031,5,3,3,6,3,2,2,0,2
0,52,4,1,2,3,3,7969,2,3,3,28,3,5,4,0,4
0,42,1,0,3,2,3,4556,2,3,2,19,3,5,4,0,2
0,42,4,0,2,2,4,4523,0,3,4,7,4,6,5,0,4
1,24,1,0,3,1,2,3202,1,3,2,6,3,5,3,1,4
0,29,2,1,2,3,3,11935,1,3,3,10,3,10,2,0,7
1,29,3,0,2,1,2,2546,5,3,2,6,4,2,2,1,1
1,19,1,1,2,1,4,2564,1,3,3,1,4,1,0,0,0
0,50,2,1,2,4,3,17046,0,3,2,28,3,27,10,15,7
0,34,4,1,2,1,3,2768,3,3,3,14,3,7,3,5,7
1,34,2,0,3,3,1,9950,9,3,3,11,3,3,2,0,2
