"Season","round","upset","u_teamid","f_teamid","u_games","u_sd_score","u_sd_fgm","u_sd_fga","u_sd_fga3","u_sd_ftm","u_sd_fta","u_sd_ast","u_sd_to","u_sd_stl","u_sd_blk","u_sd_pf","u_win_rate","u_sd_dr","u_sd_or","u_mean_score","u_mean_fgm","u_mean_fga","u_mean_fgm3","u_mean_fga3","u_mean_ftm","u_mean_fta","u_mean_or","u_mean_dr","u_mean_ast","u_mean_to","u_mean_stl","u_mean_blk","u_mean_pf","u_losses","u_mean_opp_rank_inlosses","u_wins","u_mean_opp_rank_inwins","u_worst_rank","u_best_rank","u_last_rank","u_mean_rank","u_sd_rank","u_teamname","u_seed","f_teamname","f_seed","f_losses","f_mean_opp_rank_inlosses","f_wins","f_mean_opp_rank_inwins","f_worst_rank","f_best_rank","f_last_rank","f_mean_rank","f_sd_rank","f_games","f_sd_score","f_sd_fgm","f_sd_fga","f_sd_fga3","f_sd_ftm","f_sd_fta","f_sd_ast","f_sd_to","f_sd_stl","f_sd_blk","f_sd_pf","f_win_rate","f_sd_dr","f_sd_or","f_mean_score","f_mean_fgm","f_mean_fga","f_mean_fgm3","f_mean_fga3","f_mean_ftm","f_mean_fta","f_mean_or","f_mean_dr","f_mean_ast","f_mean_to","f_mean_stl","f_mean_blk","f_mean_pf","f_ConfAbbrev","u_ConfAbbrev"
2004,1,0,1102,1314,28,11.87918681,4.353433237,4.917709064,5.730730306,6.764363515,8.330475701,3.627314076,2.454883913,2.740061406,1.61507449,3.612881129,0.785714286,4.16523785,2.399294429,60.17857143,20.28571429,42.03571429,8.464285714,22.21428571,11.14285714,15.71428571,6.142857143,15.35714286,13.25,10.78571429,7.785714286,2.357142857,16.64285714,6,109.7541253,22,163.7927306,198,17,45.21212121,74.13166853,50.44898715,"Air Force",11,"North Carolina",6,10,28.54758236,18,87.50126707,37.6,4,16.63888889,15.13422508,6.144118872,28,14.74456227,5.552538864,8.765839782,4.908151087,7.452850028,10.28277442,4.793624514,3.129480914,3.224205739,2.266619981,4.358898944,0.642857143,4.855041562,4.754836023,83.07142857,29.64285714,64.10714286,6.5,18.35714286,17.28571429,25.42857143,15.35714286,24.64285714,18.35714286,15.64285714,9.607142857,4.214285714,18.5,"acc","mwc"
2006,1,0,1102,1228,28,8.900686615,3.265176207,4.902218481,3.972624577,5.131472555,6.505593849,3.067796548,3.354693466,2.652741419,1.728610783,4.340500788,0.785714286,4.581420957,3.010563413,63.5,21.92857143,45.57142857,8.607142857,21.67857143,11.03571429,14.78571429,6.785714286,17.78571429,14.17857143,10.92857143,8,2.107142857,15.39285714,6,109.9494874,22,169.6189204,87.5,26.33333333,52.51428571,49.08515485,11.81813118,"Air Force",13,"Illinois",4,6,40.37306065,25,118.1686686,21,3.5,9.864864865,7.939306874,3.522500162,31,11.79967195,4.681007152,7.718989293,4.187025531,5.044319705,7.035547223,4.392074974,3.168052894,2.578238125,1.480337073,3.878809262,0.806451613,4.689269379,4.264885381,69.96774194,25.61290323,56.12903226,7.35483871,20.25806452,11.38709677,17.96774194,12.4516129,23.5483871,15.09677419,12.35483871,6.225806452,2.516129032,17.38709677,"big_ten","mwc"
2009,1,0,1103,1211,34,10.90209223,4.2577391,8.217899251,6.015206517,5.272942401,7.640834571,3.641217794,3.695278097,2.901225999,1.238494284,5.181638362,0.647058824,4.284449351,4.633925122,66.41176471,22.58823529,54.26470588,7.117647059,21.61764706,14.11764706,19.73529412,11.73529412,21.35294118,12.11764706,13.73529412,7.647058824,2.264705882,20.61764706,12,124.8109988,22,204.8426775,137.7692308,77.28571429,102.3658537,108.5508683,14.83217698,"Akron",13,"Gonzaga",4,5,45.65538582,25,163.2370809,54,1,13,17.19088745,9.899250185,30,11.69261482,5.029110659,6.806437115,4.753824836,4.443773896,6.510910384,4.578811772,3.46094798,3.821445836,2.47748482,3.775906681,0.833333333,4.688577462,3.709106532,78.8,28.53333333,58.5,7.4,18.56666667,14.33333333,20.23333333,10.36666667,27.5,15,11.43333333,7.5,5,16.13333333,"wcc","mac"
2011,1,0,1103,1323,34,11.00271397,3.893410494,6.695902916,6.23171121,5.986690526,8.359566552,3.625518587,3.44203335,3.125565902,2.51200327,4.27153243,0.647058824,4.90379823,4.082046252,69.97058824,24.58823529,57.20588235,7.882352941,21.88235294,12.91176471,18.23529412,10.05882353,24.20588235,14.35294118,12.02941176,6.441176471,3.411764706,19.23529412,12,125.7367744,22,204.2099898,190,98,116.877551,131.1141454,19.55393115,"Akron",15,"Notre Dame",2,6,25.95506733,26,108.7080195,45,3,8,17.40204589,8.761166101,32,14.66397825,5.636055444,7.658473591,4.935777057,6.716538927,8.750806414,5.466817055,3.010063765,1.932061827,1.856766179,4.410283986,0.8125,5.211649482,3.79250109,76,25.09375,53.84375,8.09375,20.65625,17.71875,24.4375,10.9375,26,16.71875,10.6875,4.59375,3.6875,15.03125,"big_east","mac"
2013,1,0,1103,1433,31,9.204837438,3.648832484,7.848292739,5.914625576,5.065166728,6.531643407,4.242640687,3.492541977,2.55267096,2.172160116,4.195235393,0.806451613,5.327348793,5.069410689,71.93548387,25.77419355,56.93548387,6.935483871,20.87096774,13.4516129,20.93548387,13.03225806,24.77419355,15,13.74193548,7.129032258,5.580645161,18,6,121.9128881,25,185.6276886,115,40,50.59649123,69.08248149,19.50192885,"Akron",12,"VA Commonwealth",5,8,44.87550291,26,147.7506907,47.125,15,22.84745763,26.11907142,7.043177248,34,13.0377554,5.532274451,8.772831176,6.760480739,5.399296845,6.885943729,5.474621403,3.307205982,4.751207746,2.032051552,3.360804801,0.764705882,3.419562053,3.788057037,77.32352941,28,62.35294118,7.941176471,22.58823529,13.38235294,19.08823529,13.88235294,20.94117647,14.70588235,11.82352941,11.82352941,3.147058824,19.91176471,"a_ten","mac"
2003,1,0,1104,1231,28,11.37527254,4.977595306,6.65584439,3.88457811,5.161928191,6.353351821,3.424738819,3.386871635,2.629452636,1.988059595,4.050442526,0.607142857,4.958558418,3.63550976,69.28571429,24.03571429,57.17857143,6.357142857,19.85714286,14.85714286,20.92857143,13.57142857,23.92857143,12.10714286,13.28571429,6.607142857,3.785714286,18.03571429,11,48.66112614,17,100.4696297,54,9,38.03125,26.41546632,10.99088792,"Alabama",10,"Indiana",7,12,69.08115791,20,102.7337324,62,1,41.40625,26.82559907,15.39342496,32,10.1979896,3.537244234,7.53459762,4.890741747,6.030834747,7.538075394,4.067475241,4.443189787,2.184069891,2.61026973,4.676209521,0.625,5.259400187,3.932776865,70.53125,23.4375,54.9375,7.53125,21.625,16.125,22.625,11.21875,25.625,13.8125,11.5,4.4375,5.34375,18.0625,"big_ten","sec"
2004,2,1,1104,1390,29,12.42801935,4.798398748,7.060959061,5.690931339,6.082155115,8.659116327,3.377701437,3.239229976,2.797782373,2.127117896,3.705939847,0.586206897,4.114434521,3.465167985,72.20689655,24.89655172,55,7.137931034,18.62068966,15.27586207,21.86206897,11.31034483,24,11.86206897,13.27586207,6.448275862,3.103448276,18.34482759,12,33.70757131,17,93.32854769,90.57142857,12,35.09090909,38.93666768,12.93559325,"Alabama",8,"Stanford",1,1,121.0422428,29,122.7378702,25.6,1,5.75,6.517586885,4.611819785,30,9.149838262,4.875931977,7.425027575,4.180414103,6.155083872,7.395634002,4.080934083,3.699798068,3.134714785,2.445027795,2.958719823,0.966666667,4.180414103,3.844835318,73.93333333,26.53333333,54.8,5.2,14.2,15.66666667,20.83333333,11.1,25.2,16.36666667,13.96666667,6.366666667,4.433333333,17.26666667,"pac_ten","sec"
2004,3,1,1104,1393,29,12.42801935,4.798398748,7.060959061,5.690931339,6.082155115,8.659116327,3.377701437,3.239229976,2.797782373,2.127117896,3.705939847,0.586206897,4.114434521,3.465167985,72.20689655,24.89655172,55,7.137931034,18.62068966,15.27586207,21.86206897,11.31034483,24,11.86206897,13.27586207,6.448275862,3.103448276,18.34482759,12,33.70757131,17,93.32854769,90.57142857,12,35.09090909,38.93666768,12.93559325,"Alabama",8,"Syracuse",5,7,37.59921368,21,123.4789044,73.57142857,8,23.94444444,35.82713321,14.7252313,28,14.86464503,7.060865394,8.59640321,4.335164448,6.022334972,7.963125998,5.243791996,4.605609646,2.469657132,3.482381962,4.057131679,0.75,4.38733145,3.670993119,72.92857143,27.67857143,59.75,4.321428571,13.85714286,13.25,20.82142857,13.92857143,24.71428571,15.35714286,12.78571429,7.892857143,6.857142857,17.64285714,"big_east","sec"
2004,4,0,1104,1163,29,12.42801935,4.798398748,7.060959061,5.690931339,6.082155115,8.659116327,3.377701437,3.239229976,2.797782373,2.127117896,3.705939847,0.586206897,4.114434521,3.465167985,72.20689655,24.89655172,55,7.137931034,18.62068966,15.27586207,21.86206897,11.31034483,24,11.86206897,13.27586207,6.448275862,3.103448276,18.34482759,12,33.70757131,17,93.32854769,90.57142857,12,35.09090909,38.93666768,12.93559325,"Alabama",8,"Connecticut",2,6,32.00941049,27,118.8098978,34,4.5,7.5,12.52528936,6.24728255,33,14.24202329,5.883013555,7.034816015,5.439926749,4.854707182,7.46139052,5.268006638,3.982442528,3.317766682,3.204223066,3.864416142,0.818181818,6.057646057,4.050346038,79.09090909,30.12121212,62.63636364,6.393939394,15.96969697,12.45454545,20.21212121,15.3030303,29.48484848,18.24242424,13.78787879,6.151515152,8.727272727,16.06060606,"big_east","sec"
2006,2,0,1104,1417,29,13.17866988,4.888913768,7.126064003,4.6877894,6.219308881,8.767101514,3.754799884,2.983534453,2.55337119,2.872066934,3.000820906,0.586206897,4.493015927,4.461107243,69.96551724,24.51724138,54.06896552,5.517241379,16.24137931,15.4137931,21.82758621,12.51724138,24.48275862,12.20689655,13.51724138,6.344827586,5.034482759,13.82758621,12,57.18115527,17,111.6387402,122.3333333,17.66666667,55.77142857,61.62712544,26.78444609,"Alabama",10,"UCLA",2,6,43.41144548,27,115.1596234,50.16666667,7,11.59459459,21.14783134,10.21067593,33,9.400898571,4.743017196,6.514552474,4.000236735,4.867758802,6.060928022,4.663283406,3.536337345,2.583822046,2.000473429,4.610593862,0.818181818,3.979350107,2.912876325,68.57575758,24.39393939,50.75757576,6.272727273,17.57575758,13.51515152,19.21212121,10.87878788,22.09090909,14.06060606,14.54545455,5.636363636,2.757575758,16.15151515,"pac_ten","sec"
