expid,group_size,year,leader_country,mean_age,sd_age,tot_injury,tot_sherpas,tot_oxy,mean_oxy,tot_death,tot_tibetans,mean_highpt,tot_success,tot_disputed,tot_claimed,peakid,num_doctors,num_fem,success_rate,injury_rate,female_perc,percent_same_cit,decade,region,himal,heightm,mean_exp,max_exp,min_exp,sd_exp,mean_idv,sd_idv,mean_pdi,sd_pdi
ACHN15301,5,2015,Japan,22.4,2.19089023,0,0,0,0,0,0,1,5,0,0,ACHN,0,1,1,0,0.2,1,2010,7,17,6055,1,1,1,0,46,0,54,0
ACHN15302,9,2015,France,53.66666667,8.631338251,0,0,0,0,0,0,0.444444444,4,0,0,ACHN,0,3,0.444444444,0,0.333333333,1,2010,7,17,6055,7.555555556,43,1,13.7669088,63.54545455,16.58531662,67.45454545,1.213559752
ACHN18301,6,2018,0,46.16666667,16.57005331,0,0,0,0,0,0,0,0,0,0,ACHN,0,2,0,0,0.333333333,0,2010,7,17,6055,2,4,1,1.264911064,66.44444444,13.66666667,67.66666667,1
AMAD00101,5,2000,New Zealand,30.6,2.408318916,0,0,0,0,0,0,1,5,0,0,AMAD,0,1,1,0,0.2,1,2000,2,12,6814,1,1,1,0,79,0,22,0
AMAD00102,5,2000,Russia,38.8,12.25561096,1,0,0,0,0,0,1,5,0,0,AMAD,0,1,1,0.2,0.2,1,2000,2,12,6814,1.2,2,1,0.447213595,39,0,93,0
AMAD00103,4,2000,Austria,39.75,7.274384281,1,0,0,0,0,0,0.75,3,0,0,AMAD,0,1,0.75,0.25,0.25,1,2000,2,12,6814,2,5,1,2,55,0,11,0
AMAD00104,6,2000,USA,33.16666667,11.95686693,1,0,0,0,0,0,0.333333333,0,0,0,AMAD,0,0,0,0.166666667,0,0.8,2000,2,12,6814,2,5,1,1.673320053,NA,NA,NA,NA
AMAD00105,4,2000,Spain,40.25,2.872281323,0,0,0,0,0,0,0.5,0,0,0,AMAD,0,0,0,0,0,1,2000,2,12,6814,1.75,3,1,0.957427108,51,0,57,0
AMAD00107,4,2000,Italy,40.25,6.849574196,0,0,0,0,0,0,0.5,0,0,0,AMAD,0,1,0,0,0.25,0.666666667,2000,2,12,6814,1.5,3,1,1,69.75,12.5,51.75,3.5
AMAD00109,6,2000,USA,37.33333333,8.640987598,0,0,0,0,0,0,0.333333333,0,0,0,AMAD,0,1,0,0,0.166666667,1,2000,2,12,6814,1,1,1,0,NA,NA,NA,NA
AMAD00110,8,2000,USA,34.625,8.365533029,0,0,1,0.125,0,0,0.375,0,0,0,AMAD,1,0,0,0,0,1,2000,2,12,6814,2.125,4,1,1.246423455,NA,NA,NA,NA
AMAD00111,6,2000,Mexico,25.5,5.08920426,0,0,0,0,0,0,0.833333333,0,0,0,AMAD,0,2,0,0,0.333333333,1,2000,2,12,6814,1,1,1,0,30,0,81,0
AMAD00112,3,2000,USA,44.66666667,3.214550254,0,0,0,0,0,0,0,0,0,0,AMAD,0,0,0,0,0,1,2000,2,12,6814,2,4,1,1.732050808,NA,NA,NA,NA
AMAD00301,6,2000,Italy,37.16666667,7.704976747,0,0,0,0,0,0,0.833333333,5,0,0,AMAD,0,0,0.833333333,0,0,0.4,2000,2,12,6814,1,1,1,0,67.5,10.29077257,34.5,19.10759011
AMAD00302,8,2000,Italy,35.625,5.99851172,0,0,0,0,0,0,0.5,4,0,0,AMAD,1,0,0.5,0,0,1,2000,2,12,6814,1.375,4,1,1.060660172,76,0,50,0
AMAD00305,9,2000,Italy,51,7.632168761,0,0,0,0,0,0,0.666666667,6,0,0,AMAD,0,0,0.666666667,0,0,1,2000,2,12,6814,1.555555556,5,1,1.333333333,76,0,50,0
AMAD00307,3,2000,Japan,36.66666667,12.22020185,0,0,0,0,0,0,0.666666667,2,0,0,AMAD,0,1,0.666666667,0,0.333333333,1,2000,2,12,6814,3,5,1,2,42,8,56.75,5.5
AMAD00309,4,2000,Spain,27.5,2.380476143,1,0,0,0,0,0,1,4,0,0,AMAD,0,0,1,0.25,0,1,2000,2,12,6814,1.25,2,1,0.5,51,0,57,0
AMAD00310,4,2000,Italy,37.25,2.986078811,0,0,0,0,0,0,1,4,0,0,AMAD,0,0,1,0,0,1,2000,2,12,6814,1,1,1,0,76,0,50,0
AMAD00312,4,2000,Switzerland,29.25,4.856267428,0,0,0,0,0,0,1,4,0,0,AMAD,0,0,1,0,0,1,2000,2,12,6814,1.25,2,1,0.5,68,0,34,0
AMAD00313,5,2000,Switzerland,31.6,3.911521443,1,0,0,0,0,0,0.6,3,0,0,AMAD,0,0,0.6,0.2,0,1,2000,2,12,6814,1.4,3,1,0.894427191,61.66666667,15.51343504,39.16666667,12.655697
AMAD00314,12,2000,Germany,42.91666667,7.739606912,1,0,0,0,0,0,0.833333333,10,0,0,AMAD,0,3,0.833333333,0.083333333,0.25,1,2000,2,12,6814,1.666666667,3,1,0.887625365,61.71428571,13.43605123,39.28571429,10.89409559
AMAD00315,11,2000,Poland,39.09090909,9.060403362,1,0,0,0,0,0,0.727272727,8,0,0,AMAD,0,1,0.727272727,0.090909091,0.090909091,0.5,2000,2,12,6814,3.363636364,18,1,5.005451573,NA,NA,NA,NA
AMAD00318,10,2000,UK,37,11.26449683,0,0,0,0,0,0,0.7,7,0,0,AMAD,0,2,0.7,0,0.2,0.666666667,2000,2,12,6814,2.6,9,1,2.59058123,NA,NA,NA,NA
AMAD00319,4,2000,Canada,44.25,10.1447852,0,0,0,0,0,0,1,4,0,0,AMAD,0,0,1,0,0,0.666666667,2000,2,12,6814,1.5,3,1,1,NA,NA,NA,NA
AMAD00322,6,2000,New Zealand,38.16666667,10.87044924,1,0,0,0,0,0,0.833333333,5,0,0,AMAD,0,1,0.833333333,0.166666667,0.166666667,0.2,2000,2,12,6814,2,6,1,2,NA,NA,NA,NA
AMAD00323,6,2000,Canada,41.5,10.36822068,0,0,0,0,0,0,1,6,0,0,AMAD,0,0,1,0,0,0,2000,2,12,6814,2.5,9,1,3.209361307,NA,NA,NA,NA
AMAD00325,6,2000,USA,36.16666667,4.16733328,0,0,0,0,0,0,0.166666667,1,0,0,AMAD,0,0,0.166666667,0,0,1,2000,2,12,6814,1,1,1,0,NA,NA,NA,NA
AMAD00401,8,2000,UK,38.25,9.114352888,1,0,2,0.25,0,0,0.25,2,0,0,AMAD,0,1,0.25,0.125,0.125,0.571428571,2000,2,12,6814,1.375,4,1,1.060660172,NA,NA,NA,NA
AMAD00402,7,2000,S Korea,35.28571429,7.476948703,0,0,0,0,0,0,0.142857143,1,0,0,AMAD,0,0,0.142857143,0,0,1,2000,2,12,6814,1.285714286,2,1,0.487950036,NA,NA,NA,NA
AMAD00403,13,2000,Spain,35.92307692,9.096350353,3,0,0,0,0,0,0.230769231,3,0,0,AMAD,0,1,0.230769231,0.230769231,0.076923077,0,2000,2,12,6814,1.923076923,12,1,3.040327243,NA,NA,NA,NA
AMAD01101,5,2001,Australia,32.8,4.604345773,0,0,0,0,0,0,0.4,0,0,0,AMAD,0,1,0,0,0.2,1,2000,2,12,6814,1.2,2,1,0.447213595,90,0,36,0
AMAD01102,3,2001,USA,39.33333333,6.429100507,1,0,0,0,0,0,0.666666667,0,0,0,AMAD,0,1,0,0.333333333,0.333333333,0.5,2000,2,12,6814,1,1,1,0,NA,NA,NA,NA
AMAD01103,7,2001,Spain,31.57142857,5.191568256,0,0,0,0,0,0,0.285714286,0,0,0,AMAD,0,0,0,0,0,1,2000,2,12,6814,1,1,1,0,51,0,57,0
AMAD01104,7,2001,USA,35.42857143,11.74531315,1,0,0,0,0,0,0.285714286,2,0,0,AMAD,0,0,0.285714286,0.142857143,0,1,2000,2,12,6814,2.142857143,4,1,1.463850109,NA,NA,NA,NA
AMAD01106,6,2001,Spain,34.33333333,9.352361556,0,0,0,0,0,0,0.833333333,5,0,0,AMAD,0,2,0.833333333,0,0.333333333,1,2000,2,12,6814,3.666666667,11,1,3.881580434,51,0,57,0
AMAD01301,8,2001,UK,25,1.8516402,0,0,0,0,0,0,0.25,2,0,0,AMAD,0,0,0.25,0,0,1,2000,2,12,6814,1,1,1,0,NA,NA,NA,NA
AMAD01302,5,2001,Canada,42.4,5.594640292,0,0,0,0,0,0,1,5,0,0,AMAD,0,1,1,0,0.2,1,2000,2,12,6814,1.2,2,1,0.447213595,71.66666667,20.41241452,43.33333333,10.61445555
AMAD01303,7,2001,Germany,31,4.546060566,0,0,0,0,0,0,1,7,0,0,AMAD,0,1,1,0,0.142857143,1,2000,2,12,6814,1,1,1,0,67,0,35,0
AMAD01304,6,2001,Germany,35.83333333,12.56052016,0,0,0,0,0,0,0.333333333,2,0,0,AMAD,0,1,0.333333333,0,0.166666667,0.6,2000,2,12,6814,1.5,2,1,0.547722558,55.625,17.56569302,49,15.50115203
