pid,level,level_num,func_dept,region,emailcount,meetingcount,centrality,emailcount_int,meetingcount_int,emailcount_ext,meetingcount_ext,PMmtg,HRmtg,Mktmtg,Opmtg,GAmtg,Salesmtg,RDmtg,PMemail,HRemail,Mktemail,Opemail,GAemail,Salesemail,RDemail,Dir_level,Exc_level,JrIc_level,Mgr_level,SrExec_level,SrIc_level,Sprt_level,C_region,E_region,N_region,S_region,SW_region,W_region,GA_dept,HR_dept,Mkting_dept,Ops_dept,PM_dept,RD_dept,Sales_dept,attainquota
6,Director,5,Operations,Central,3066,7660,0.24190354,3066,5869,0,1791,347,46,336,2784,591,364,1401,60,108,48,2268,334,12,236,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,NA
7,Junior IC,2,Operations,South,17210,853,0.29707286,6978,697,10232,156,0,0,0,677,10,0,10,13,0,5,6175,531,10,244,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,NA
8,Manager,4,Operations,South,5866,0,0.34625369,5830,0,36,0,0,0,0,0,0,0,0,13,0,12,5112,523,17,153,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,NA
9,Manager,4,Operations,Central,8826,5356,0.33971581,6652,4137,2174,1219,83,26,221,2166,278,141,1222,17,43,24,5667,299,5,597,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,NA
10,Senior IC,3,R&D,Central,9754,6293,0.30871445,5784,4808,3970,1485,240,50,312,1447,264,200,2295,353,13,35,1076,108,39,4160,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,NA
13,Junior IC,2,Operations,South,9905,0,0.23139203,5805,0,4100,0,0,0,0,0,0,0,0,10,0,5,5403,109,0,278,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,NA
14,Senior IC,3,Operations,Central,3892,1922,0.17280692,2546,1727,1346,195,58,18,47,835,107,65,597,0,18,4,1843,161,0,520,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,NA
15,Manager,4,Operations,Central,13397,5496,0.35080594,6767,4563,6630,933,256,41,177,1965,255,91,1778,176,34,39,4438,303,163,1614,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,NA
17,Junior IC,2,Operations,Central,1749,784,0.13453534,1617,701,132,83,21,21,70,187,136,115,151,1,27,0,1489,71,0,29,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,NA
22,Junior IC,2,Operations,Central,4700,2190,0.30072936,4240,1970,460,220,35,33,112,1121,217,129,323,1,6,6,3690,438,0,99,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,NA
35,Senior IC,3,Operations,Central,9737,2463,0.29207462,5405,1918,4332,545,109,23,168,961,292,212,153,12,56,7,4865,283,0,182,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,NA
41,Senior IC,3,Operations,Central,3434,1766,0.30965418,2770,1430,664,336,91,21,134,517,307,210,150,121,13,11,1492,770,331,32,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,NA
44,Junior IC,2,Operations,Central,1234,1286,0.08717446,1078,1075,156,211,11,13,36,561,98,57,299,12,7,2,905,14,2,136,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,NA
45,Junior IC,2,Operations,South,2389,1740,0.1537682,1671,1198,718,542,0,0,31,691,76,10,390,6,0,9,1143,96,2,415,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,NA
50,Support,1,Operations,Central,5943,885,0.27090237,3135,797,2808,88,20,20,86,285,134,115,137,30,7,7,2539,253,199,100,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,NA
55,Junior IC,2,Operations,South,2620,1106,0.1980893,2310,963,310,143,0,0,0,905,41,0,17,1,0,0,2061,136,0,112,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,NA
61,Junior IC,2,Operations,South,3510,1624,0.17881317,2508,1250,1002,374,40,0,0,826,47,10,327,0,0,20,1663,101,2,722,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,NA
63,Senior IC,3,Operations,Central,3351,2201,0.29026058,3077,1863,274,338,112,27,105,754,223,150,492,111,10,21,2133,164,13,625,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,NA
64,Manager,4,Operations,South,4494,3830,0.24248838,3038,2700,1456,1130,15,0,18,1655,300,53,659,6,0,4,2014,557,93,364,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,NA
66,Manager,4,Operations,West,1777,0,0.071577683,1413,0,364,0,0,0,0,0,0,0,0,0,129,1,1163,48,38,34,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,NA
81,Director,5,G&A,Central,8011,0,0.45499673,7091,0,920,0,0,0,0,0,0,0,0,3,87,48,233,6509,137,74,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,NA
82,Support,1,Operations,Central,2048,3701,0.43006051,1978,2982,70,719,169,50,262,1452,461,309,279,12,106,20,1293,340,17,190,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,NA
83,Support,1,Operations,Central,944,154,0.1457777,944,136,0,18,0,1,40,51,21,0,23,1,37,0,755,34,88,29,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,NA
89,Senior Executive,7,G&A,Central,8553,2065,0.5068329,8071,1693,482,372,85,40,193,251,582,192,350,90,214,1118,354,5594,462,239,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,NA
91,Junior IC,2,G&A,Central,5468,0,0.406544,3906,0,1562,0,0,0,0,0,0,0,0,9,238,28,151,3108,112,260,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,NA
94,Manager,4,Operations,South,7563,0,0.22699778,4703,0,2860,0,0,0,0,0,0,0,0,0,0,0,4434,241,0,28,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,NA
103,Senior IC,3,Operations,Central,13941,0,0.35459727,7549,0,6392,0,0,0,0,0,0,0,0,51,21,23,5198,412,6,1838,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,NA
112,Senior IC,3,Operations,Central,4246,1305,0.23533267,3398,1146,848,159,22,24,61,517,164,84,274,20,9,4,2711,179,47,428,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,NA
113,Manager,4,G&A,Central,4809,1162,0.55977488,3879,1037,930,125,28,36,96,199,337,134,207,22,223,206,950,1982,306,190,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,NA
